collision_count,executed_path_length,execution_steps,failed_planner_calls,failure_reason,final_goal_distance,maximum_planning_time_s,planner,planner_artificial_obstacles_inserted,planner_backtrack_failed,planner_backtrack_tries,planner_blocked_steps,planner_max_active_virtual_obstacles,planner_path_reuse_ratio,planner_planning_effort,planner_recovery_events,planner_repair_events,planner_selection_changes_due_to_midpoint_checking,planner_unique_midpoint_rejections,planner_virtual_obstacles_created,planning_calls,replans,scenario,seed,sensed_obstacle_ratio,success,total_planning_time_s
0,37.69999999999998,377,0,,0.45191682081931944,0.07742518899976858,r2apf,0,False,0,0,0,,158.0,0,0,0,2,0,3,3,A,5000,0.4375,True,0.09672796599988942
0,41.00000000000012,410,0,,0.429794120959644,0.14582367500042892,r2apf,0,False,0,0,0,,404.0,0,0,4,17,0,10,10,A,5001,0.6125,True,0.8193362940028237
0,37.30000000000023,373,0,,0.4915906083443214,0.10228092899978947,r2apf,1,False,0,0,1,0.2,235.0,1,1,1,5,1,6,6,A,5002,0.475,True,0.4471590040002411
0,45.95076008046995,460,2,,0.40105267804900646,0.1217720949998693,r2apf,3,False,2,0,3,0.14285714285714285,490.0,3,1,7,21,3,14,14,A,5003,0.4875,True,1.0880132219990628
0,40.50000000000004,405,0,,0.4385604198322339,0.10818719500002771,r2apf,0,False,0,0,0,,430.0,0,0,1,9,0,9,9,A,5004,0.45,True,0.5203975249987707
0,43.50000000000004,435,1,,0.4422973278106106,0.14889532799952576,r2apf,3,False,1,0,3,0.25,612.0,3,2,11,22,3,15,15,A,5005,0.6,True,1.4087276469999779
0,38.40000000000014,384,0,,0.4170820891787466,0.0832825799998318,r2apf,0,False,0,0,0,,349.0,0,0,2,9,0,9,9,A,5006,0.4875,True,0.4584401139991314
0,37.90000000000013,379,0,,0.4046344996155132,0.08638220700049715,r2apf,0,False,0,0,0,,276.0,0,0,1,2,0,7,7,A,5007,0.3875,True,0.3392576629994437
0,38.60000000000013,386,0,,0.4788882735190471,0.14859256799991272,r2apf,4,False,0,0,4,0.23363095238095238,343.0,4,4,4,6,4,7,7,A,5008,0.3375,True,0.5308737539990034
0,38.40000000000012,384,0,,0.48907816042004654,0.10070647500015184,r2apf,1,False,0,0,1,0.16666666666666666,339.0,1,1,1,4,1,7,7,A,5009,0.425,True,0.4107412059984199
0,39.70000000000023,397,0,,0.41556886418984335,0.10700059099963255,r2apf,1,False,0,0,1,0.3333333333333333,201.0,1,1,3,6,1,5,5,A,5010,0.3625,True,0.3184018259998993
0,37.40000000000016,374,0,,0.4557711351735269,0.3147442609997597,r2apf,0,False,0,0,0,,181.0,0,0,1,3,0,4,4,A,5011,0.425,True,0.4976345069999297
0,35.500000000000156,355,0,,0.4425618572145524,0.07576205399982427,r2apf,0,False,0,0,0,,342.0,0,0,2,6,0,7,7,A,5012,0.45,True,0.26429366800039134
0,36.30000000000009,363,0,,0.46247129799335623,0.09145794400046725,r2apf,1,False,0,0,1,0.16666666666666666,314.0,1,1,3,6,1,7,7,A,5013,0.45,True,0.39448707300198294
0,43.4010295905499,435,2,,0.44933050355963294,0.15901417499935633,r2apf,5,False,2,0,5,0.17777777777777778,502.0,5,3,5,12,5,14,14,A,5014,0.475,True,1.1604433109996535
0,38.6000000000002,386,0,,0.40842729258139365,0.06750491300044814,r2apf,0,False,0,0,0,,163.0,0,0,1,1,0,3,3,A,5015,0.3875,True,0.0942475480005669
0,35.800000000000004,358,0,,0.4469772175192215,0.09926428900052997,r2apf,0,False,0,0,0,,372.0,0,0,3,12,0,9,9,A,5016,0.425,True,0.668156423000255
0,38.600000000000136,386,0,,0.4732508343924627,0.13742965500023274,r2apf,2,False,0,0,2,0.3333333333333333,301.0,2,2,4,14,2,8,8,A,5017,0.5875,True,0.6753149870000925
0,51.49428394722482,517,5,,0.43272508763754347,0.15752805700049066,r2apf,10,False,5,0,10,0.2733333333333333,356.0,10,5,6,11,10,13,13,A,5018,0.45,True,0.8130577759993685
